Id,Label,Hour,DayWeek
k000,k000,k000,k000
k001,k001,k001,k001
k002,k002,k002,k002
k003,k003,k003,k003
k004,k004,k004,k004
0,01,01,Fri
1,02,02,Fri
2,03,03,Fri
3,04,04,Fri
4,05,05,Fri
5,06,06,Fri
6,07,07,Fri
7,08,08,Fri
8,09,09,Fri
9,10,10,Fri
10,11,11,Fri
11,12,12,Fri
12,13,13,Fri
13,14,14,Fri
14,15,15,Fri
15,16,16,Fri
16,17,17,Fri
17,18,18,Fri
18,19,19,Fri
19,20,20,Fri
20,21,21,Fri
21,22,22,Fri
22,23,23,Fri
23,00,00,Sat
24,01,01,Sat
25,02,02,Sat
26,03,03,Sat
27,04,04,Sat
28,05,05,Sat
29,06,06,Sat
30,07,07,Sat
31,08,08,Sat
32,09,09,Sat
33,10,10,Sat
34,11,11,Sat
35,12,12,Sat
36,13,13,Sat
37,14,14,Sat
38,15,15,Sat
39,16,16,Sat
40,17,17,Sat
41,18,18,Sat
42,19,19,Sat
43,20,20,Sat
44,21,21,Sat
45,22,22,Sat
46,23,23,Sat
47,00,00,Sun
48,01,01,Sun
49,02,02,Sun
50,03,03,Sun
51,04,04,Sun
52,05,05,Sun
53,06,06,Sun
54,07,07,Sun
55,08,08,Sun
56,09,09,Sun
57,10,10,Sun
58,11,11,Sun
59,12,12,Sun
60,13,13,Sun
61,14,14,Sun
62,15,15,Sun
63,16,16,Sun
64,17,17,Sun
65,18,18,Sun
66,19,19,Sun
67,20,20,Sun
68,21,21,Sun
69,22,22,Sun
70,23,23,Sun
71,00,00,Mon
72,01,01,Mon
73,02,02,Mon
74,03,03,Mon
75,04,04,Mon
76,05,05,Mon
77,06,06,Mon
78,07,07,Mon
79,08,08,Mon
80,09,09,Mon
81,10,10,Mon
82,11,11,Mon
83,12,12,Mon
84,13,13,Mon
85,14,14,Mon
86,15,15,Mon
87,16,16,Mon
88,17,17,Mon
89,18,18,Mon
90,19,19,Mon
91,20,20,Mon
92,21,21,Mon
93,22,22,Mon
94,23,23,Mon
95,00,00,Tue
96,01,01,Tue
97,02,02,Tue
98,03,03,Tue
99,04,04,Tue
100,05,05,Tue
101,06,06,Tue
102,07,07,Tue
103,08,08,Tue
104,09,09,Tue
105,10,10,Tue
106,11,11,Tue
107,12,12,Tue
108,13,13,Tue
109,14,14,Tue
110,15,15,Tue
111,16,16,Tue
112,17,17,Tue
113,18,18,Tue
114,19,19,Tue
115,20,20,Tue
116,21,21,Tue
117,22,22,Tue
118,23,23,Tue
119,00,00,Wed
120,01,01,Wed
121,02,02,Wed
122,03,03,Wed
123,04,04,Wed
124,05,05,Wed
125,06,06,Wed
126,07,07,Wed
127,08,08,Wed
128,09,09,Wed
129,10,10,Wed
130,11,11,Wed
131,12,12,Wed
132,13,13,Wed
133,14,14,Wed
134,15,15,Wed
135,16,16,Wed
136,17,17,Wed
137,18,18,Wed
138,19,19,Wed
139,20,20,Wed
140,21,21,Wed
141,22,22,Wed
142,23,23,Wed
143,00,00,Thu
144,01,01,Thu
145,02,02,Thu
146,03,03,Thu
147,04,04,Thu
148,05,05,Thu
149,06,06,Thu
150,07,07,Thu
151,08,08,Thu
152,09,09,Thu
153,10,10,Thu
154,11,11,Thu
155,12,12,Thu
156,13,13,Thu
157,14,14,Thu
158,15,15,Thu
159,16,16,Thu
160,17,17,Thu
161,18,18,Thu
162,19,19,Thu
163,20,20,Thu
164,21,21,Thu
165,22,22,Thu
166,23,23,Thu
167,00,00,Fri
168,01,01,Fri
169,02,02,Fri
170,03,03,Fri
171,04,04,Fri
172,05,05,Fri
173,06,06,Fri
174,07,07,Fri
175,08,08,Fri
176,09,09,Fri
177,10,10,Fri
178,11,11,Fri
179,12,12,Fri
180,13,13,Fri
181,14,14,Fri
182,15,15,Fri
183,16,16,Fri
184,17,17,Fri
185,18,18,Fri
186,19,19,Fri
187,20,20,Fri
188,21,21,Fri
189,22,22,Fri
190,23,23,Fri
191,00,00,Sat
192,01,01,Sat
193,02,02,Sat
194,03,03,Sat
195,04,04,Sat
196,05,05,Sat
197,06,06,Sat
198,07,07,Sat
199,08,08,Sat
200,09,09,Sat
201,10,10,Sat
202,11,11,Sat
203,12,12,Sat
204,13,13,Sat
205,14,14,Sat
206,15,15,Sat
207,16,16,Sat
208,17,17,Sat
209,18,18,Sat
210,19,19,Sat
211,20,20,Sat
212,21,21,Sat
213,22,22,Sat
214,23,23,Sat
215,00,00,Sun
216,01,01,Sun
217,02,02,Sun
218,03,03,Sun
219,04,04,Sun
220,05,05,Sun
221,06,06,Sun
222,07,07,Sun
223,08,08,Sun
224,09,09,Sun
225,10,10,Sun
226,11,11,Sun
227,12,12,Sun
228,13,13,Sun
