Centroid 0, ( 3.813, 7.74 )
Centroid 1, ( 5.688, 8.507 )
Centroid 2, ( 8.116, 4.891 )
Centroid 3, ( 5.934, 3.018 )

New Centroid 0:( 2.28496, 6.78277 )

New Centroid 1:( 6.75913, 8.41679 )

New Centroid 2:( 8.35529, 5.22762 )

New Centroid 3:( 4.45334, 2.20682 )

New Centroid 0:( 2.10012, 6.61555 )

New Centroid 1:( 6.65651, 8.2696 )

New Centroid 2:( 8.2144, 4.74461 )

New Centroid 3:( 4.25602, 2.08217 )

New Centroid 0:( 2.03059, 6.57917 )

New Centroid 1:( 6.75321, 8.17184 )

New Centroid 2:( 8.05558, 4.28606 )

New Centroid 3:( 4.0884, 2.06183 )

New Centroid 0:( 2.02051, 6.59593 )

New Centroid 1:( 6.84248, 8.05062 )

New Centroid 2:( 7.90507, 3.77087 )

New Centroid 3:( 3.78596, 2.07885 )
