Id,Label,Class
k000,k000,k000
k001,k001,k001
k002,k002,k002
0,0,Iris-setosa
1,1,Iris-setosa
2,2,Iris-setosa
3,3,Iris-setosa
4,4,Iris-setosa
5,5,Iris-setosa
6,6,Iris-setosa
7,7,Iris-setosa
8,8,Iris-setosa
9,9,Iris-setosa
10,10,Iris-setosa
11,11,Iris-setosa
12,12,Iris-setosa
13,13,Iris-setosa
14,14,Iris-setosa
15,15,Iris-setosa
16,16,Iris-setosa
17,17,Iris-setosa
18,18,Iris-setosa
19,19,Iris-setosa
20,20,Iris-setosa
21,21,Iris-setosa
22,22,Iris-setosa
23,23,Iris-setosa
24,24,Iris-setosa
25,25,Iris-setosa
26,26,Iris-setosa
27,27,Iris-setosa
28,28,Iris-setosa
29,29,Iris-setosa
30,30,Iris-setosa
31,31,Iris-setosa
32,32,Iris-setosa
33,33,Iris-setosa
34,34,Iris-setosa
35,35,Iris-setosa
36,36,Iris-setosa
37,37,Iris-setosa
38,38,Iris-setosa
39,39,Iris-setosa
40,40,Iris-setosa
41,41,Iris-setosa
42,42,Iris-setosa
43,43,Iris-setosa
44,44,Iris-setosa
45,45,Iris-setosa
46,46,Iris-setosa
47,47,Iris-setosa
48,48,Iris-setosa
49,49,Iris-setosa
50,50,Iris-versicolor
51,51,Iris-versicolor
52,52,Iris-versicolor
53,53,Iris-versicolor
54,54,Iris-versicolor
55,55,Iris-versicolor
56,56,Iris-versicolor
57,57,Iris-versicolor
58,58,Iris-versicolor
59,59,Iris-versicolor
60,60,Iris-versicolor
61,61,Iris-versicolor
62,62,Iris-versicolor
63,63,Iris-versicolor
64,64,Iris-versicolor
65,65,Iris-versicolor
66,66,Iris-versicolor
67,67,Iris-versicolor
68,68,Iris-versicolor
69,69,Iris-versicolor
70,70,Iris-versicolor
71,71,Iris-versicolor
72,72,Iris-versicolor
73,73,Iris-versicolor
74,74,Iris-versicolor
75,75,Iris-versicolor
76,76,Iris-versicolor
77,77,Iris-versicolor
78,78,Iris-versicolor
79,79,Iris-versicolor
80,80,Iris-versicolor
81,81,Iris-versicolor
82,82,Iris-versicolor
83,83,Iris-versicolor
84,84,Iris-versicolor
85,85,Iris-versicolor
86,86,Iris-versicolor
87,87,Iris-versicolor
88,88,Iris-versicolor
89,89,Iris-versicolor
90,90,Iris-versicolor
91,91,Iris-versicolor
92,92,Iris-versicolor
93,93,Iris-versicolor
94,94,Iris-versicolor
95,95,Iris-versicolor
96,96,Iris-versicolor
97,97,Iris-versicolor
98,98,Iris-versicolor
99,99,Iris-versicolor
100,100,Iris-virginica
101,101,Iris-virginica
102,102,Iris-virginica
103,103,Iris-virginica
104,104,Iris-virginica
105,105,Iris-virginica
106,106,Iris-virginica
107,107,Iris-virginica
108,108,Iris-virginica
109,109,Iris-virginica
110,110,Iris-virginica
111,111,Iris-virginica
112,112,Iris-virginica
113,113,Iris-virginica
114,114,Iris-virginica
115,115,Iris-virginica
116,116,Iris-virginica
117,117,Iris-virginica
118,118,Iris-virginica
119,119,Iris-virginica
120,120,Iris-virginica
121,121,Iris-virginica
122,122,Iris-virginica
123,123,Iris-virginica
124,124,Iris-virginica
125,125,Iris-virginica
126,126,Iris-virginica
127,127,Iris-virginica
128,128,Iris-virginica
129,129,Iris-virginica
130,130,Iris-virginica
131,131,Iris-virginica
132,132,Iris-virginica
133,133,Iris-virginica
134,134,Iris-virginica
135,135,Iris-virginica
136,136,Iris-virginica
137,137,Iris-virginica
138,138,Iris-virginica
139,139,Iris-virginica
140,140,Iris-virginica
141,141,Iris-virginica
142,142,Iris-virginica
143,143,Iris-virginica
144,144,Iris-virginica
145,145,Iris-virginica
146,146,Iris-virginica
147,147,Iris-virginica
148,148,Iris-virginica
149,149,Iris-virginica
