Id,Label,Class
k000,k000,k000
k001,k001,k001
k002,k002,k002
k003,k003,k003
k004,k004,k004
k005,k005,k005
k006,k006,k006
k007,k007,k007
k008,k008,k008
k009,k009,k009
k010,k010,k010
k011,k011,k011
k012,k012,k012
k013,k013,k013
k014,k014,k014
k015,k015,k015
k016,k016,k016
k017,k017,k017
k018,k018,k018
k019,k019,k019
k020,k020,k020
k021,k021,k021
k022,k022,k022
k023,k023,k023
k024,k024,k024
k025,k025,k025
0,0,T
1,1,I
2,2,D
3,3,N
4,4,G
5,5,S
6,6,B
7,7,A
8,8,J
9,9,M
10,10,X
11,11,O
12,12,G
13,13,M
14,14,R
15,15,F
16,16,O
17,17,C
18,18,T
19,19,J
20,20,J
21,21,H
22,22,S
23,23,O
24,24,J
25,25,C
26,26,M
27,27,W
28,28,H
29,29,G
30,30,L
31,31,L
32,32,X
33,33,B
34,34,M
35,35,G
36,36,O
37,37,P
38,38,G
39,39,E
40,40,X
41,41,E
42,42,X
43,43,G
44,44,V
45,45,X
46,46,W
47,47,G
48,48,R
49,49,S
50,50,Y
51,51,L
52,52,Y
53,53,J
54,54,S
55,55,Q
56,56,Q
57,57,D
58,58,C
59,59,L
60,60,N
61,61,C
62,62,E
63,63,X
64,64,H
65,65,L
66,66,H
67,67,E
68,68,Y
69,69,H
70,70,Q
71,71,Q
72,72,Q
73,73,J
74,74,J
75,75,D
76,76,R
77,77,M
78,78,A
79,79,N
80,80,M
81,81,P
82,82,C
83,83,P
84,84,N
85,85,W
86,86,V
87,87,V
88,88,M
89,89,E
90,90,N
91,91,Y
92,92,W
93,93,O
94,94,N
95,95,H
96,96,O
97,97,N
98,98,H
99,99,U
100,100,Y
101,101,S
102,102,S
103,103,T
104,104,C
105,105,V
106,106,T
107,107,K
108,108,D
109,109,W
110,110,I
111,111,E
112,112,F
113,113,I
114,114,H
115,115,U
116,116,C
117,117,F
118,118,A
119,119,Z
120,120,X
121,121,N
122,122,R
123,123,B
124,124,B
125,125,U
126,126,J
127,127,F
128,128,M
129,129,H
130,130,A
131,131,O
132,132,E
133,133,U
134,134,A
135,135,X
136,136,S
137,137,J
138,138,K
139,139,I
140,140,P
141,141,T
142,142,C
143,143,H
144,144,A
145,145,L
146,146,T
147,147,A
148,148,V
149,149,U
150,150,I
151,151,Z
152,152,V
153,153,M
154,154,L
155,155,O
156,156,B
157,157,A
158,158,K
159,159,H
160,160,T
161,161,W
162,162,F
163,163,A
164,164,E
165,165,M
166,166,B
167,167,M
168,168,Y
169,169,V
170,170,S
171,171,C
172,172,H
173,173,U
174,174,P
175,175,Z
176,176,E
177,177,N
178,178,P
179,179,H
180,180,T
181,181,B
182,182,U
183,183,S
184,184,F
185,185,J
186,186,R
187,187,E
188,188,P
189,189,I
190,190,K
191,191,D
192,192,B
193,193,H
194,194,M
195,195,P
196,196,O
197,197,S
198,198,K
199,199,V
200,200,F
201,201,Y
202,202,D
203,203,Z
204,204,Q
205,205,S
206,206,B
207,207,K
208,208,V
209,209,B
210,210,Y
211,211,O
212,212,Z
213,213,L
214,214,J
215,215,Z
216,216,A
217,217,L
218,218,J
219,219,Q
220,220,N
221,221,Z
222,222,E
223,223,J
224,224,D
225,225,O
226,226,L
227,227,V
228,228,X
229,229,J
230,230,N
231,231,H
232,232,A
233,233,P
234,234,A
235,235,F
236,236,X
237,237,D
238,238,V
239,239,P
240,240,F
241,241,P
242,242,Y
243,243,W
244,244,P
245,245,J
246,246,E
247,247,S
248,248,E
249,249,B
250,250,I
251,251,S
252,252,S
253,253,C
254,254,M
255,255,P
256,256,R
257,257,U
258,258,U
259,259,D
260,260,U
261,261,J
262,262,Z
263,263,F
264,264,V
265,265,M
266,266,U
267,267,B
268,268,L
269,269,T
270,270,D
271,271,T
272,272,O
273,273,T
274,274,U
275,275,D
276,276,R
277,277,G
278,278,D
279,279,S
280,280,S
281,281,M
282,282,M
283,283,D
284,284,Z
285,285,W
286,286,C
287,287,K
288,288,J
289,289,A
290,290,D
291,291,C
292,292,V
293,293,S
294,294,F
295,295,A
296,296,B
297,297,N
298,298,U
299,299,S
300,300,Q
301,301,F
302,302,F
303,303,X
304,304,A
305,305,B
306,306,O
307,307,J
308,308,H
309,309,M
310,310,I
311,311,W
312,312,N
313,313,A
314,314,S
315,315,P
316,316,D
317,317,M
318,318,T
319,319,L
320,320,X
321,321,G
322,322,D
323,323,E
324,324,N
325,325,G
326,326,V
327,327,A
328,328,E
329,329,K
330,330,M
331,331,L
332,332,T
333,333,G
334,334,J
335,335,F
336,336,W
337,337,A
338,338,K
339,339,P
340,340,M
341,341,O
342,342,S
343,343,C
344,344,O
345,345,Z
346,346,X
347,347,W
348,348,B
349,349,C
350,350,F
351,351,I
352,352,B
353,353,P
354,354,K
355,355,U
356,356,N
357,357,Y
358,358,I
359,359,Q
360,360,Q
361,361,Z
362,362,F
363,363,M
364,364,D
365,365,N
366,366,W
367,367,U
368,368,G
369,369,G
370,370,O
371,371,U
372,372,K
373,373,W
374,374,K
375,375,E
376,376,V
377,377,R
378,378,Z
379,379,S
380,380,N
381,381,X
382,382,I
383,383,Q
384,384,N
385,385,C
386,386,Q
387,387,N
388,388,K
389,389,S
390,390,E
391,391,D
392,392,X
393,393,C
394,394,J
395,395,B
396,396,D
397,397,R
398,398,Z
399,399,T
400,400,K
401,401,G
402,402,B
403,403,X
404,404,D
405,405,V
406,406,I
407,407,Z
408,408,G
409,409,J
410,410,V
411,411,V
412,412,J
413,413,C
414,414,U
415,415,A
416,416,Y
417,417,T
418,418,M
419,419,V
420,420,S
421,421,M
422,422,Y
423,423,Z
424,424,M
425,425,M
426,426,J
427,427,K
428,428,B
429,429,K
430,430,Z
431,431,F
432,432,N
433,433,P
434,434,C
435,435,Z
436,436,S
437,437,W
438,438,P
439,439,L
440,440,U
441,441,J
442,442,J
443,443,Z
444,444,M
445,445,U
446,446,J
447,447,B
448,448,B
449,449,Q
450,450,N
451,451,D
452,452,B
453,453,E
454,454,E
455,455,N
456,456,T
457,457,Y
458,458,Q
459,459,U
460,460,H
461,461,J
462,462,D
463,463,G
464,464,V
465,465,U
466,466,U
467,467,Z
468,468,G
469,469,L
470,470,D
471,471,J
472,472,K
473,473,A
474,474,L
475,475,X
476,476,Q
477,477,F
478,478,W
479,479,K
480,480,P
481,481,V
482,482,L
483,483,A
484,484,B
485,485,S
486,486,I
487,487,B
488,488,F
489,489,I
490,490,M
491,491,K
492,492,C
493,493,H
494,494,S
495,495,B
496,496,O
497,497,M
498,498,I
499,499,W
500,500,U
501,501,Y
502,502,A
503,503,P
504,504,B
505,505,O
506,506,Y
507,507,I
508,508,R
509,509,N
510,510,B
511,511,Q
512,512,H
513,513,J
514,514,W
515,515,Y
516,516,F
517,517,A
518,518,X
519,519,Z
520,520,H
521,521,K
522,522,J
523,523,N
524,524,W
525,525,U
526,526,Y
527,527,Q
528,528,V
529,529,D
530,530,V
531,531,R
532,532,L
533,533,V
534,534,F
535,535,B
536,536,R
537,537,J
538,538,V
539,539,Y
540,540,M
541,541,X
542,542,S
543,543,K
544,544,T
545,545,H
546,546,L
547,547,J
548,548,D
549,549,B
550,550,N
551,551,R
552,552,M
553,553,Z
554,554,R
555,555,K
556,556,W
557,557,P
558,558,E
559,559,E
560,560,Y
561,561,J
562,562,L
563,563,I
564,564,I
565,565,M
566,566,V
567,567,P
568,568,H
569,569,R
570,570,X
571,571,P
572,572,V
573,573,N
574,574,O
575,575,G
576,576,T
577,577,R
578,578,W
579,579,U
580,580,L
581,581,S
582,582,Q
583,583,M
584,584,F
585,585,V
586,586,V
587,587,F
588,588,M
589,589,I
590,590,P
591,591,U
592,592,B
593,593,Q
594,594,H
595,595,X
596,596,M
597,597,J
598,598,V
599,599,B
600,600,T
601,601,U
602,602,D
603,603,Y
604,604,O
605,605,O
606,606,K
607,607,W
608,608,A
609,609,O
610,610,S
611,611,T
612,612,S
613,613,X
614,614,T
615,615,U
616,616,Y
617,617,V
618,618,D
619,619,H
620,620,B
621,621,S
622,622,O
623,623,O
624,624,J
625,625,P
626,626,O
627,627,I
628,628,Z
629,629,W
630,630,F
631,631,H
632,632,D
633,633,B
634,634,K
635,635,T
636,636,N
637,637,F
638,638,A
639,639,V
640,640,F
641,641,Y
642,642,R
643,643,Q
644,644,M
645,645,P
646,646,K
647,647,Y
648,648,D
649,649,R
650,650,B
651,651,T
652,652,W
653,653,K
654,654,G
655,655,P
656,656,C
657,657,S
658,658,J
659,659,P
660,660,X
661,661,L
662,662,B
663,663,E
664,664,H
665,665,T
666,666,P
667,667,S
668,668,N
669,669,P
670,670,D
671,671,T
672,672,B
673,673,Y
674,674,J
675,675,A
676,676,J
677,677,S
678,678,E
679,679,I
680,680,H
681,681,G
682,682,Z
683,683,Y
684,684,H
685,685,B
686,686,A
687,687,B
688,688,M
689,689,P
690,690,W
691,691,S
692,692,J
693,693,N
694,694,I
695,695,P
696,696,G
697,697,E
698,698,Q
699,699,R
700,700,K
701,701,Y
702,702,P
703,703,G
704,704,G
705,705,P
706,706,L
707,707,J
708,708,Y
709,709,D
710,710,M
711,711,G
712,712,U
713,713,I
714,714,I
715,715,B
716,716,Q
717,717,J
718,718,B
719,719,A
720,720,S
721,721,U
722,722,E
723,723,R
724,724,L
725,725,N
726,726,B
727,727,K
728,728,X
729,729,P
730,730,I
731,731,G
732,732,A
733,733,K
734,734,B
735,735,Y
736,736,N
737,737,Y
738,738,O
739,739,E
740,740,U
741,741,U
742,742,X
743,743,D
744,744,D
745,745,S
746,746,K
747,747,I
748,748,F
749,749,A
750,750,R
751,751,P
752,752,Y
753,753,V
754,754,M
755,755,K
756,756,F
757,757,X
758,758,H
759,759,L
760,760,H
761,761,J
762,762,R
763,763,G
764,764,F
765,765,D
766,766,K
767,767,L
768,768,P
769,769,A
770,770,I
771,771,X
772,772,M
773,773,R
774,774,Y
775,775,I
776,776,T
777,777,F
778,778,R
779,779,Z
780,780,K
781,781,R
782,782,E
783,783,Y
784,784,M
785,785,G
786,786,X
787,787,Z
788,788,T
789,789,A
790,790,A
791,791,P
792,792,H
793,793,T
794,794,M
795,795,K
